epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
120,79.8908,0.42735,0.9023,0.75186,0.98219,1,0.995,0.82079,0.72151,1.03952,0.77665,0.0036438,0.0012146,0.0036438,0.0012146,0.0036438,0.0012146,0.0036438,0.0012146
121,80.3743,0.46632,0.9339,0.73352,0.98219,1,0.995,0.82079,0.72151,1.03952,0.77665,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
122,80.8506,0.36725,1.08697,0.85323,0.98219,1,0.995,0.82079,0.72151,1.03952,0.77665,0.0036042,0.0012014,0.0036042,0.0012014,0.0036042,0.0012014,0.0036042,0.0012014
123,81.3378,0.29303,0.96408,0.80191,0.98219,1,0.995,0.82079,0.72151,1.03952,0.77665,0.0035844,0.0011948,0.0035844,0.0011948,0.0035844,0.0011948,0.0035844,0.0011948
124,82.2054,0.55541,1.09252,0.84668,0.98282,1,0.995,0.796,0.69569,1.01964,0.76586,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
125,82.6752,0.39932,0.89728,0.84642,0.98282,1,0.995,0.796,0.69569,1.01964,0.76586,0.0035448,0.0011816,0.0035448,0.0011816,0.0035448,0.0011816,0.0035448,0.0011816
126,83.1674,0.36226,0.93211,0.75985,0.98282,1,0.995,0.796,0.69569,1.01964,0.76586,0.003525,0.001175,0.003525,0.001175,0.003525,0.001175,0.003525,0.001175
127,83.6578,0.37418,0.92543,0.82143,0.98282,1,0.995,0.796,0.69569,1.01964,0.76586,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
128,84.3752,0.38065,2.24878,0.84904,0.98279,1,0.995,0.8955,0.59923,0.98656,0.75154,0.0034854,0.0011618,0.0034854,0.0011618,0.0034854,0.0011618,0.0034854,0.0011618
129,84.865,0.34025,1.02656,0.76447,0.98279,1,0.995,0.8955,0.59923,0.98656,0.75154,0.0034656,0.0011552,0.0034656,0.0011552,0.0034656,0.0011552,0.0034656,0.0011552
